provider_state,billing_class,negotiated_rate
TX,institutional,250.0
TX,institutional,250.0
TX,institutional,250.0
TX,institutional,0.0
CA,institutional,6141.0
CA,institutional,6141.0
CA,institutional,6141.0
CA,institutional,73880.0
OH,institutional,6386.52
OH,institutional,7611.17
OH,institutional,8579.55
OH,institutional,13387.12
OH,institutional,33525.58
OH,institutional,43351.48
IA,institutional,367.95
IA,institutional,854.09
IA,institutional,6736.38
AR,institutional,2922.0
TX,institutional,0.0
TX,institutional,1338.0
TX,institutional,1338.0
TX,institutional,5587.17
TX,institutional,6777.91
TX,institutional,9356.0
TX,institutional,21956.0
TX,institutional,46752.82
MI,institutional,1564.1
TX,institutional,0.0
TX,institutional,2692.85
TX,institutional,26009.19
IN,institutional,10898.68
IN,institutional,12988.56
IN,institutional,14641.11
IN,institutional,22845.29
IN,institutional,57211.81
IN,institutional,73979.84
NJ,institutional,17390.0
NJ,institutional,15215.0
NJ,institutional,11993.0
NJ,institutional,12096.0
NJ,institutional,16491.0
NJ,institutional,20593.0
NJ,institutional,20593.0
NJ,institutional,20593.0
NJ,institutional,20593.0
NJ,institutional,20593.0
NJ,institutional,4604.0
NJ,institutional,15000.0
NJ,institutional,15000.0
NJ,institutional,15000.0
NJ,institutional,15000.0
NJ,institutional,15000.0
NJ,institutional,15000.0
NJ,institutional,16383.0
NJ,institutional,7532.0
NJ,institutional,7532.0
NJ,institutional,7532.0
NJ,institutional,7532.0
NJ,institutional,7532.0
NJ,institutional,7532.0
NJ,institutional,10850.0
NJ,institutional,13326.0
NJ,institutional,13326.0
NJ,institutional,13326.0
NJ,institutional,13326.0
NJ,institutional,13326.0
NJ,institutional,6299.0
NJ,institutional,6299.0
NJ,institutional,6299.0
NJ,institutional,6299.0
NJ,institutional,6299.0
NJ,institutional,6299.0
MA,institutional,6083.0
MA,institutional,6083.0
MA,institutional,113622.74
MA,institutional,222.91
MA,institutional,693.07
MA,institutional,952.21
MA,institutional,1101.76
MA,institutional,1532.93
NJ,institutional,2684.0
NJ,institutional,14088.0
NJ,institutional,17963.0
NJ,institutional,22173.0
NJ,institutional,69506.0
NJ,institutional,78115.0
NJ,institutional,15215.0
PA,institutional,12562.35
PA,institutional,14971.25
PA,institutional,16876.06
PA,institutional,26332.6
PA,institutional,65945.12
PA,institutional,85272.77
PA,institutional,11346.52
PA,institutional,13522.28
PA,institutional,15242.73
PA,institutional,23784.04
PA,institutional,59562.72
PA,institutional,77019.77
PA,institutional,15328.0
PA,institutional,20461.0
PA,institutional,26759.0
PA,institutional,40664.0
PA,institutional,103541.0
PA,institutional,120243.0
PA,institutional,15961.75
PA,institutional,19022.5
PA,institutional,21442.75
PA,institutional,33458.25
PA,institutional,83790.0
